symbol,assetType,exchange,canonicalName,aliases,sector
EURUSD,FOREX,FX,Euro / US Dollar,EURUSD|Euro / US Dollar|EUR/USD|Euro/Dolar,Forex
GBPUSD,FOREX,FX,British Pound / US Dollar,GBPUSD|British Pound / US Dollar|GBP/USD,Forex
USDTRY,FOREX,FX,US Dollar / Turkish Lira,USDTRY|US Dollar / Turkish Lira|USD/TRY|Dolar/TL|Dolar kuru,Forex
EURTRY,FOREX,FX,Euro / Turkish Lira,EURTRY|Euro / Turkish Lira|EUR/TRY|Euro/TL|Euro kuru,Forex
GBPTRY,FOREX,FX,British Pound / Turkish Lira,GBPTRY|British Pound / Turkish Lira|GBP/TRY,Forex
USDJPY,FOREX,FX,US Dollar / Japanese Yen,USDJPY|US Dollar / Japanese Yen|USD/JPY,Forex
USDCHF,FOREX,FX,US Dollar / Swiss Franc,USDCHF|US Dollar / Swiss Franc|USD/CHF,Forex
USDCAD,FOREX,FX,US Dollar / Canadian Dollar,USDCAD|US Dollar / Canadian Dollar|USD/CAD,Forex
AUDUSD,FOREX,FX,Australian Dollar / US Dollar,AUDUSD|Australian Dollar / US Dollar|AUD/USD,Forex
NZDUSD,FOREX,FX,New Zealand Dollar / US Dollar,NZDUSD|New Zealand Dollar / US Dollar|NZD/USD,Forex
EURGBP,FOREX,FX,Euro / British Pound,EURGBP|Euro / British Pound|EUR/GBP,Forex
EURJPY,FOREX,FX,Euro / Japanese Yen,EURJPY|Euro / Japanese Yen|EUR/JPY,Forex
GBPJPY,FOREX,FX,British Pound / Japanese Yen,GBPJPY|British Pound / Japanese Yen|GBP/JPY,Forex
USDCNY,FOREX,FX,US Dollar / Chinese Yuan,USDCNY|US Dollar / Chinese Yuan|USD/CNY,Forex
USDSEK,FOREX,FX,US Dollar / Swedish Krona,USDSEK|US Dollar / Swedish Krona|USD/SEK,Forex
USDNOK,FOREX,FX,US Dollar / Norwegian Krone,USDNOK|US Dollar / Norwegian Krone|USD/NOK,Forex
USDDKK,FOREX,FX,US Dollar / Danish Krone,USDDKK|US Dollar / Danish Krone|USD/DKK,Forex
USDZAR,FOREX,FX,US Dollar / South African Rand,USDZAR|US Dollar / South African Rand|USD/ZAR,Forex
USDINR,FOREX,FX,US Dollar / Indian Rupee,USDINR|US Dollar / Indian Rupee|USD/INR,Forex
USDSAR,FOREX,FX,US Dollar / Saudi Riyal,USDSAR|US Dollar / Saudi Riyal|USD/SAR,Forex
AACB,STOCK,NASDAQ,Artius II Acquisition Inc.,AACB|Artius II Acquisition Inc.,Unknown
AACI,STOCK,NASDAQ,Armada Acquisition Corp. III,AACI|Armada Acquisition Corp. III,Unknown
AACO,STOCK,NASDAQ,Abony Acquisition Corp. I,AACO|Abony Acquisition Corp. I,Unknown
AAL,STOCK,NASDAQ,"American Airlines Group, Inc.","AAL|American Airlines Group, Inc.",Unknown
AAME,STOCK,NASDAQ,Atlantic American Corporation,AAME|Atlantic American Corporation,Unknown
